wellName,DEPTH,Gamma,Porosity,Fluvialfacies
B4,1962.1063,82.5951,0.212909,1
B4,1962.6063,81.011353,0.214429,1
B4,1963.1063,80.091682,0.214526,1
B4,1963.6063,80.306786,0.21405,1
B4,1964.1063,80.34137,0.214465,1
B4,1964.6063,79.66497,0.21524,1
B4,1965.1063,78.245934,0.216962,1
B4,1965.6063,76.071487,0.219066,1
B4,1966.1063,73.328445,0.221788,1
B4,1966.6063,70.09214,0.22476,1
B4,1967.1063,67.573547,0.226219,1
B4,1967.6063,66.26107,0.227069,1
B4,1968.1063,68.968079,0.221457,1
B4,1968.6063,76.829247,0.213238,1
B4,1969.1063,82.736954,0.211063,1
B4,1969.6063,83.82457,0.211325,1
B4,1970.1063,85.034775,0.208933,1
B4,1970.6063,88.361046,0.205472,1
B4,1971.1063,85.979401,0.213123,1
B4,1971.6063,74.734322,0.225257,1
B4,1972.1063,70.776344,0.220087,1
B4,1972.6063,80.619255,0.207939,1
B4,1973.1063,88.975372,0.205385,1
B4,1973.6063,89.678955,0.206701,1
B4,1974.1063,88.082123,0.208195,1
B4,1974.6063,86.343468,0.20976,1
B4,1975.1063,87.134186,0.206803,1
B4,1975.6063,91.531601,0.202023,1
B4,1976.1063,95.136627,0.200461,1
B4,1976.6063,96.175034,0.200196,1
B4,1977.1063,92.031761,0.207751,1
B4,1977.6063,81.652122,0.218459,1
B4,1978.1063,76.419945,0.216956,1
B4,1978.6063,80.926476,0.21053,1
B4,1979.1063,85.643372,0.208658,1
B4,1979.6063,86.727692,0.208622,1
B4,1980.1063,87.185059,0.207853,1
B4,1980.6063,88.227676,0.206787,1
B4,1981.1063,86.242989,0.211344,1
B4,1981.6063,79.773987,0.218169,1
B4,1982.1063,77.667702,0.215051,1
B4,1982.6063,83.492264,0.207921,1
B4,1983.1063,85.91851,0.210781,1
B4,1983.6063,80.377197,0.217671,1
B4,1984.1063,78.169815,0.214665,1
B4,1984.6063,83.854439,0.207669,1
B4,1985.1063,88.308601,0.206828,1
B4,1985.6063,87.853065,0.208471,1
B4,1986.1063,91.518204,0.20038,1
B4,1986.6063,102.94609,0.188364,1
B4,1987.1063,108.78165,0.190113,1
B4,1987.6063,103.63857,0.197413,1
B4,1988.1063,95.714333,0.204055,1
B4,1988.6063,88.315125,0.210431,1
B4,1989.1063,86.023941,0.208086,1
B4,1989.6063,90.689163,0.202223,1
B4,1990.1063,90.751221,0.207977,1
B4,1990.6063,81.547958,0.218416,1
B4,1991.1063,74.783356,0.219879,1
B4,1991.6063,75.177826,0.217722,1
B4,1992.1063,77.234863,0.21626,1
B4,1992.6063,78.73764,0.215078,1
B4,1993.1063,78.441605,0.21678,1
B4,1993.6063,75.844795,0.219646,1
B4,1994.1063,76.736244,0.215212,1
B4,1994.6063,83.450752,0.207833,1
B4,1995.1063,88.012054,0.207187,1
B4,1995.6063,87.203194,0.209256,1
B4,1996.1063,82.081322,0.216198,0
B4,1996.6063,73.072792,0.225106,0
B4,1997.1063,68.863235,0.223605,0
B4,1997.6063,72.955704,0.217905,0
B4,1998.1063,76.820168,0.216805,0
B4,1998.6063,77.016335,0.21756,0
B4,1999.1063,78.375763,0.214414,0
B4,1999.6063,82.847092,0.209694,1
B4,2000.1063,83.853439,0.212643,1
B4,2000.6063,78.742264,0.218686,1
B4,2001.1063,74.469353,0.220161,1
B4,2001.6063,73.840096,0.219794,1
B4,2002.1063,77.457916,0.213796,1
B4,2002.6063,85.566177,0.205527,1
B4,2003.1063,87.55825,0.210291,1
B4,2003.6063,79.156334,0.22031,1
B4,2004.1063,74.892632,0.217792,1
B4,2004.6063,80.62822,0.210219,1
B4,2005.1063,84.596764,0.21081,1
B4,2005.6063,82.052711,0.214695,1
B4,2006.1063,80.290558,0.21391,1
B4,2006.6063,82.252281,0.211243,1
B4,2007.1063,83.280701,0.212101,1
B4,2007.6063,81.497475,0.214381,1
B4,2008.1063,82.867867,0.20969,1
B4,2008.6063,89.797775,0.202188,1
B4,2009.1063,96.370239,0.198126,1
B4,2009.6063,100.19886,0.195452,1
B4,2010.1063,96.130196,0.205285,1
B4,2010.6063,82.08577,0.220162,1
B4,2011.1063,72.547485,0.222067,1
B4,2011.6063,73.35614,0.218739,1
B4,2012.1063,80.244499,0.209947,1
B4,2012.6063,91.491531,0.19895,1
B4,2013.1063,94.941368,0.203877,1
B4,2013.6063,85.691338,0.215225,1
B4,2014.1063,78.957375,0.215725,1
B4,2014.6063,80.876289,0.211849,1
B4,2015.1063,85.104507,0.208285,1
B4,2015.6063,89.083565,0.204848,1
B4,2016.1063,89.883621,0.206878,1
B4,2016.6063,86.323036,0.211113,1
B4,2017.1063,82.339027,0.213888,1
B4,2017.6063,79.519539,0.216074,1
B4,2018.1063,80.721191,0.211774,1
B4,2018.6063,87.096115,0.204858,1
B4,2019.1063,93.437508,0.200616,1
B4,2019.6063,97.645386,0.197454,1
B4,2020.1063,97.25251,0.201307,1
B4,2020.6063,91.263809,0.20799,1
B4,2021.1063,86.901993,0.208981,1
B4,2021.6063,87.080093,0.207677,1
B4,2022.1063,87.418793,0.208386,1
B4,2022.6063,86.15184,0.209906,1
B4,2023.1063,82.230576,0.215285,1
B4,2023.6063,75.232033,0.22222,1
B4,2024.1063,74.658607,0.216294,1
B4,2024.6063,84.342789,0.205181,1
B4,2025.1063,90.229073,0.205937,1
B4,2025.6063,86.648659,0.211481,1
B4,2026.1063,83.763298,0.211014,1
B4,2026.6063,85.671402,0.208124,1
B4,2027.1063,91.275604,0.201154,1
B4,2027.6063,100.13334,0.192539,1
B4,2028.1063,106.94802,0.189164,1
B4,2028.6063,109.58346,0.187903,1
B4,2029.1063,109.11708,0.189985,1
B4,2029.6063,105.98342,0.193416,1
B4,2030.1063,98.386024,0.203352,1
B4,2030.6063,85.600334,0.215911,1
B4,2031.1063,77.692513,0.217265,1
B4,2031.6063,78.722404,0.214099,1
B4,2032.1063,83.997871,0.207983,1
B4,2032.6063,91.626495,0.200677,1
B4,2033.1063,94.469131,0.202982,1
B4,2033.6063,89.646431,0.209163,1
B4,2034.1063,85.381294,0.210486,1
B4,2034.6063,84.990135,0.209851,1
B4,2035.1063,85.877831,0.208924,1
B4,2035.6063,86.997742,0.20788,1
